Buyer ID,Age,Location,Painting Preference (%),Sculpture Preference (%),Photograph Preference (%),Avg Spend,Views,Likes,Style Preference,Medium Preference,Feedback Sentiment,Repeat Purchases
B0076,64,Dubai,33,10,57,747,26,19,Impressionist,Watercolor,Positive,5
B0077,61,Toronto,6,95,-1,101,50,6,Surreal,Watercolor,Negative,3
B0078,50,Mumbai,5,33,62,529,26,19,Abstract,Watercolor,Neutral,9
B0079,18,Singapore,34,25,41,587,45,6,Impressionist,Oil,Negative,5
B0080,44,Mumbai,82,61,-43,962,18,2,Abstract,Digital Prints,Positive,2
B0081,46,Dubai,57,9,34,928,37,10,Realistic,Digital Prints,Positive,9
B0082,56,Mumbai,82,1,17,1164,5,12,Realistic,Watercolor,Negative,3
B0083,41,Singapore,46,4,50,1188,29,13,Impressionist,Mixed Media,Neutral,9
B0084,62,Mumbai,98,47,-45,1952,9,18,Realistic,Digital Prints,Positive,8
B0085,44,Dubai,48,93,-41,1931,37,4,Abstract,Oil,Negative,6
B0086,53,Dubai,33,52,15,1482,14,18,Realistic,Watercolor,Positive,4
B0087,34,Paris,60,1,39,1861,16,2,Surreal,Sculpture,Positive,10
B0088,41,Mumbai,85,97,-82,624,8,8,Surreal,Mixed Media,Positive,6
B0089,22,Sydney,70,82,-52,1379,25,11,Abstract,Mixed Media,Neutral,1
B0090,41,Dubai,61,75,-36,1234,41,9,Impressionist,Oil,Negative,3
B0091,22,Dubai,70,74,-44,524,32,15,Surreal,Oil,Neutral,3
B0092,51,Singapore,51,86,-37,400,18,15,Impressionist,Oil,Negative,4
B0093,24,Mumbai,39,33,28,1897,49,16,Abstract,Digital Prints,Neutral,9
B0094,62,NYC,21,59,20,177,38,5,Impressionist,Sculpture,Positive,3
B0095,48,London,25,63,12,384,6,9,Contemporary,Sculpture,Neutral,3
B0096,44,Singapore,97,49,-46,1680,36,10,Realistic,Mixed Media,Negative,8
B0097,46,Toronto,2,41,57,399,12,15,Contemporary,Sculpture,Neutral,8
B0098,43,NYC,27,86,-13,278,33,6,Abstract,Watercolor,Neutral,1
B0099,61,Berlin,85,75,-60,811,31,17,Abstract,Mixed Media,Neutral,3
B0100,51,Paris,58,25,17,679,48,7,Contemporary,Digital Prints,Positive,9
B0101,36,Sydney,99,18,-17,312,28,10,Impressionist,Watercolor,Neutral,5
B0102,46,Berlin,7,58,35,1835,23,3,Impressionist,Mixed Media,Negative,8
B0103,41,Mumbai,54,98,-52,1388,12,13,Impressionist,Bronze,Negative,6
B0104,43,Paris,85,100,-85,526,11,18,Impressionist,Oil,Positive,10
B0105,43,Tokyo,61,2,37,335,23,2,Contemporary,Digital Prints,Neutral,10
B0106,30,NYC,7,64,29,1564,29,6,Surreal,Bronze,Negative,8
B0107,21,Sydney,57,10,33,1406,7,3,Abstract,Mixed Media,Neutral,7
B0108,30,NYC,96,78,-74,1825,14,2,Realistic,Digital Prints,Negative,8
B0109,49,NYC,31,30,39,602,38,1,Surreal,Sculpture,Neutral,7
B0110,31,Singapore,39,100,-39,925,14,16,Realistic,Digital Prints,Neutral,8
B0111,25,NYC,35,84,-19,680,46,13,Contemporary,Oil,Positive,5
B0112,57,Dubai,54,51,-5,412,35,1,Contemporary,Sculpture,Positive,4
B0113,64,Tokyo,33,11,56,1147,22,13,Contemporary,Bronze,Positive,3
B0114,63,Mumbai,77,80,-57,1557,27,18,Impressionist,Mixed Media,Neutral,3
B0115,52,Tokyo,81,23,-4,1112,43,9,Surreal,Bronze,Positive,3
B0116,62,Sydney,91,57,-48,1898,12,12,Contemporary,Digital Prints,Neutral,5
B0117,33,Singapore,13,71,16,1725,43,2,Impressionist,Mixed Media,Positive,2
B0118,21,Singapore,47,72,-19,1653,10,1,Impressionist,Mixed Media,Neutral,8
B0119,65,Tokyo,63,15,22,811,26,10,Impressionist,Bronze,Negative,4
B0120,35,Toronto,58,79,-37,1058,9,11,Impressionist,Digital Prints,Positive,8
B0121,21,Mumbai,30,100,-30,344,5,20,Realistic,Sculpture,Positive,7
B0122,31,Berlin,75,8,17,110,36,13,Abstract,Digital Prints,Positive,1
B0123,23,Berlin,81,65,-46,1227,23,19,Contemporary,Mixed Media,Negative,8
B0124,24,Tokyo,93,99,-92,1033,23,16,Surreal,Oil,Positive,9
B0125,37,NYC,78,72,-50,1449,44,5,Abstract,Oil,Negative,9
B0126,36,Paris,75,25,0,749,35,12,Realistic,Mixed Media,Negative,3
B0127,41,NYC,42,73,-15,556,32,14,Impressionist,Sculpture,Negative,6
B0128,44,Singapore,38,1,61,755,30,9,Surreal,Oil,Positive,6
B0129,35,Toronto,9,17,74,645,34,20,Abstract,Watercolor,Neutral,1
B0130,61,Singapore,50,4,46,1004,32,10,Abstract,Mixed Media,Positive,7
B0131,62,Sydney,60,31,9,1761,40,16,Contemporary,Digital Prints,Negative,1
B0132,39,Singapore,13,38,49,553,10,20,Surreal,Oil,Positive,1
B0133,47,Mumbai,22,23,55,897,28,4,Contemporary,Watercolor,Negative,7
B0134,33,London,87,63,-50,1387,33,2,Surreal,Bronze,Positive,8
B0135,44,Mumbai,8,38,54,399,8,18,Impressionist,Oil,Positive,3
B0136,51,Singapore,15,54,31,345,19,3,Surreal,Watercolor,Positive,5
B0137,60,Tokyo,51,79,-30,857,37,13,Surreal,Sculpture,Negative,1
B0138,23,Sydney,47,31,22,1515,41,3,Abstract,Bronze,Negative,1
B0139,58,Sydney,24,59,17,1085,8,18,Realistic,Bronze,Negative,7
B0140,20,Mumbai,57,94,-51,562,26,6,Surreal,Oil,Neutral,3
B0141,52,Tokyo,48,85,-33,1648,19,14,Contemporary,Watercolor,Neutral,1
B0142,62,Sydney,4,42,54,1051,48,6,Contemporary,Oil,Negative,6
B0143,29,Tokyo,52,50,-2,1569,38,16,Impressionist,Watercolor,Neutral,8
B0144,21,Singapore,27,94,-21,1160,35,19,Impressionist,Mixed Media,Neutral,5
B0145,59,Paris,4,100,-4,1320,37,8,Abstract,Sculpture,Neutral,2
B0146,50,Tokyo,84,45,-29,512,39,12,Surreal,Digital Prints,Positive,8
B0147,46,Tokyo,50,38,12,1982,9,4,Abstract,Sculpture,Positive,5
B0148,60,Tokyo,54,61,-15,1848,10,19,Impressionist,Oil,Negative,1
B0149,24,Dubai,79,20,1,123,11,14,Abstract,Watercolor,Neutral,2
B0150,40,Sydney,9,51,40,305,15,3,Abstract,Watercolor,Negative,3
B0151,60,London,20,62,18,188,46,13,Impressionist,Bronze,Neutral,7
B0152,40,London,0,8,92,1983,30,7,Contemporary,Watercolor,Neutral,1
B0153,20,Singapore,23,30,47,701,15,20,Realistic,Sculpture,Negative,4
B0154,32,Sydney,54,60,-14,825,32,9,Surreal,Watercolor,Positive,1
B0155,33,NYC,25,31,44,410,38,10,Impressionist,Bronze,Negative,7
B0156,18,NYC,62,76,-38,1416,11,19,Abstract,Bronze,Positive,9
B0157,47,Mumbai,46,99,-45,1581,42,7,Abstract,Oil,Negative,1
B0158,57,Sydney,44,64,-8,226,23,9,Abstract,Oil,Negative,9
B0159,38,Paris,24,15,61,1704,24,7,Abstract,Bronze,Negative,2
B0160,24,Berlin,93,53,-46,1756,31,8,Contemporary,Digital Prints,Neutral,7
B0161,30,Paris,88,96,-84,441,35,15,Realistic,Mixed Media,Neutral,6
B0162,58,Toronto,65,54,-19,704,40,10,Surreal,Oil,Neutral,10
B0163,22,Toronto,27,18,55,180,45,14,Contemporary,Oil,Positive,1
B0164,33,NYC,8,78,14,460,28,12,Contemporary,Watercolor,Neutral,2
B0165,56,Paris,94,41,-35,109,17,13,Abstract,Bronze,Negative,2
B0166,62,Singapore,89,56,-45,1060,33,8,Realistic,Digital Prints,Positive,2
B0167,30,Singapore,96,24,-20,1896,9,5,Surreal,Oil,Negative,2
B0168,60,Mumbai,55,90,-45,825,23,17,Contemporary,Sculpture,Positive,7
B0169,47,Berlin,19,100,-19,1694,35,12,Abstract,Digital Prints,Negative,10
B0170,43,London,88,42,-30,1750,11,12,Abstract,Digital Prints,Negative,4
B0171,23,Berlin,31,69,0,308,15,3,Abstract,Bronze,Negative,3
B0172,38,Toronto,81,78,-59,732,46,11,Realistic,Watercolor,Neutral,2
B0173,44,Dubai,100,60,-60,442,40,6,Realistic,Digital Prints,Negative,8
B0174,50,Paris,74,10,16,924,45,17,Contemporary,Watercolor,Neutral,8
B0175,26,NYC,33,43,24,1045,39,8,Contemporary,Bronze,Positive,7
B0176,43,Dubai,97,4,-1,472,26,18,Surreal,Watercolor,Negative,7
B0177,20,Paris,29,51,20,1907,18,12,Surreal,Bronze,Negative,8
B0178,60,Paris,83,12,5,758,31,17,Realistic,Sculpture,Negative,8
B0179,63,NYC,98,18,-16,224,29,4,Abstract,Mixed Media,Positive,6
B0180,50,London,18,88,-6,973,5,20,Surreal,Mixed Media,Neutral,2
B0181,38,Mumbai,22,69,9,350,49,18,Surreal,Mixed Media,Positive,2
B0182,56,Singapore,71,28,1,1813,23,10,Surreal,Oil,Positive,4
B0183,35,Tokyo,64,7,29,462,26,4,Surreal,Oil,Positive,1
B0184,40,Singapore,29,10,61,881,49,13,Impressionist,Digital Prints,Negative,4
B0185,48,London,68,7,25,1514,48,15,Contemporary,Watercolor,Neutral,4
B0186,44,Tokyo,20,52,28,131,22,18,Abstract,Sculpture,Neutral,6
B0187,51,Mumbai,99,64,-63,727,25,8,Surreal,Digital Prints,Neutral,4
B0188,59,Paris,92,62,-54,402,18,9,Realistic,Oil,Neutral,2
B0189,62,Tokyo,76,44,-20,548,49,4,Abstract,Sculpture,Positive,1
B0190,42,Singapore,38,57,5,1705,27,9,Abstract,Mixed Media,Neutral,1
B0191,28,Mumbai,8,13,79,926,35,12,Impressionist,Digital Prints,Neutral,10
B0192,62,Paris,9,64,27,1181,43,4,Impressionist,Oil,Positive,5
B0193,55,Mumbai,90,88,-78,1833,34,14,Realistic,Watercolor,Neutral,1
B0194,32,London,61,21,18,1925,16,18,Impressionist,Watercolor,Positive,2
B0195,62,NYC,38,3,59,236,25,7,Contemporary,Sculpture,Negative,10
B0196,47,London,62,79,-41,1522,38,1,Abstract,Mixed Media,Positive,8
B0197,34,Singapore,44,89,-33,166,24,18,Surreal,Oil,Negative,2
B0198,59,Singapore,44,33,23,242,34,7,Realistic,Bronze,Negative,5
B0199,41,Berlin,29,46,25,1263,42,6,Surreal,Mixed Media,Negative,2
B0200,64,Mumbai,52,27,21,907,8,8,Impressionist,Digital Prints,Neutral,9
B0201,58,Singapore,73,54,-27,303,45,20,Surreal,Mixed Media,Negative,10
B0202,48,Paris,19,55,26,232,33,9,Abstract,Watercolor,Negative,6
B0203,48,NYC,82,74,-56,1337,26,4,Contemporary,Mixed Media,Negative,7
B0204,51,Mumbai,50,3,47,1680,41,6,Contemporary,Mixed Media,Neutral,9
B0205,19,Berlin,91,2,7,1339,32,12,Contemporary,Oil,Negative,10
B0206,23,London,47,100,-47,545,11,11,Impressionist,Watercolor,Neutral,4
B0207,37,NYC,1,82,17,1481,50,17,Abstract,Mixed Media,Negative,6
B0208,55,Tokyo,15,77,8,1218,10,18,Impressionist,Sculpture,Positive,6
B0209,19,Singapore,19,51,30,1748,6,1,Impressionist,Watercolor,Neutral,6
B0210,50,Singapore,49,42,9,1207,23,14,Abstract,Mixed Media,Negative,3
B0211,39,Tokyo,60,73,-33,853,29,18,Contemporary,Watercolor,Positive,2
B0212,58,NYC,79,92,-71,512,15,18,Realistic,Sculpture,Positive,5
B0213,61,Paris,75,57,-32,1997,39,6,Impressionist,Sculpture,Positive,4
B0214,65,NYC,49,8,43,529,15,6,Impressionist,Digital Prints,Positive,1
B0215,58,Tokyo,40,4,56,1213,41,9,Impressionist,Sculpture,Negative,8
B0216,49,Sydney,85,7,8,559,27,12,Contemporary,Oil,Neutral,2
B0217,18,Mumbai,39,75,-14,1188,39,7,Realistic,Bronze,Neutral,9
B0218,27,Dubai,41,56,3,1035,39,2,Impressionist,Bronze,Neutral,10
B0219,32,London,2,56,42,1316,18,13,Contemporary,Mixed Media,Neutral,8
B0220,65,Sydney,98,96,-94,1336,27,17,Abstract,Digital Prints,Positive,4
B0221,57,Sydney,64,18,18,1383,45,3,Impressionist,Watercolor,Neutral,8
B0222,44,Mumbai,51,5,44,1736,28,20,Contemporary,Digital Prints,Negative,4
B0223,50,Sydney,97,51,-48,1563,38,6,Impressionist,Oil,Negative,9
B0224,28,Toronto,44,87,-31,1117,40,12,Impressionist,Digital Prints,Neutral,4
B0225,56,London,29,6,65,521,15,17,Surreal,Sculpture,Negative,3
B0226,48,Mumbai,43,7,50,579,11,15,Impressionist,Digital Prints,Positive,8
B0227,59,Sydney,27,11,62,1165,9,6,Impressionist,Watercolor,Positive,9
B0228,25,Berlin,98,84,-82,1996,17,8,Abstract,Sculpture,Negative,2
B0229,26,Singapore,64,78,-42,1192,29,11,Abstract,Mixed Media,Neutral,10
B0230,26,Tokyo,57,100,-57,152,29,8,Contemporary,Oil,Neutral,4
B0231,64,London,1,88,11,914,40,5,Surreal,Digital Prints,Neutral,7
B0232,41,Dubai,29,43,28,325,45,13,Impressionist,Bronze,Neutral,3
B0233,44,Dubai,28,36,36,1477,47,4,Abstract,Watercolor,Negative,10
B0234,34,Sydney,98,90,-88,1011,45,7,Surreal,Oil,Negative,5
B0235,37,Mumbai,27,62,11,921,8,4,Surreal,Bronze,Negative,3
B0236,42,Paris,43,88,-31,1078,9,5,Contemporary,Sculpture,Negative,5
B0237,27,Singapore,33,41,26,894,46,14,Abstract,Mixed Media,Neutral,1
B0238,62,Sydney,87,13,0,1049,45,3,Contemporary,Watercolor,Negative,9
B0239,48,Berlin,5,94,1,449,29,4,Surreal,Mixed Media,Neutral,10
B0240,51,NYC,50,4,46,1816,12,13,Realistic,Sculpture,Negative,10
B0241,35,Tokyo,22,58,20,1807,13,11,Contemporary,Oil,Positive,7
B0242,36,NYC,100,49,-49,1011,29,11,Impressionist,Oil,Neutral,7
B0243,27,Mumbai,51,15,34,775,36,6,Contemporary,Mixed Media,Neutral,3
B0244,38,Toronto,76,18,6,158,41,12,Realistic,Sculpture,Neutral,6
B0245,60,Berlin,84,65,-49,960,27,16,Contemporary,Mixed Media,Positive,10
B0246,57,Toronto,94,83,-77,663,16,1,Realistic,Oil,Positive,6
B0247,48,Toronto,83,94,-77,1576,38,13,Surreal,Bronze,Neutral,10
B0248,30,London,88,3,9,1603,22,11,Contemporary,Watercolor,Positive,3
B0249,37,Dubai,89,85,-74,226,32,19,Realistic,Watercolor,Positive,4
B0250,21,Sydney,75,97,-72,808,43,20,Contemporary,Bronze,Neutral,3
B0251,32,Mumbai,6,0,94,1678,32,17,Abstract,Watercolor,Neutral,9
B0252,56,Berlin,27,57,16,1793,36,12,Impressionist,Mixed Media,Positive,5
B0253,29,Mumbai,36,35,29,336,36,14,Realistic,Oil,Neutral,1
B0254,30,Paris,49,74,-23,886,29,20,Realistic,Oil,Negative,2
B0255,43,London,100,54,-54,1528,42,12,Realistic,Bronze,Negative,3
B0256,45,Tokyo,43,94,-37,379,5,5,Contemporary,Sculpture,Negative,8
B0257,45,NYC,74,25,1,1382,29,10,Realistic,Oil,Neutral,9
B0258,64,Singapore,60,40,0,774,27,6,Impressionist,Bronze,Neutral,3
B0259,34,Berlin,38,77,-15,1370,27,19,Realistic,Digital Prints,Positive,7
B0260,64,NYC,84,90,-74,1260,41,18,Impressionist,Watercolor,Positive,6
B0261,60,Berlin,77,1,22,1407,38,1,Surreal,Mixed Media,Negative,4
B0262,31,Mumbai,14,71,15,1743,20,5,Impressionist,Mixed Media,Neutral,2
B0263,60,Berlin,29,9,62,641,16,3,Surreal,Oil,Neutral,2
B0264,44,Mumbai,33,11,56,1190,9,18,Contemporary,Mixed Media,Positive,10
B0265,24,Singapore,82,89,-71,1781,12,2,Abstract,Digital Prints,Positive,4
B0266,61,London,94,89,-83,309,19,16,Abstract,Oil,Positive,5
B0267,26,London,13,23,64,1576,24,1,Contemporary,Watercolor,Negative,7
B0268,47,Berlin,65,67,-32,595,21,9,Surreal,Sculpture,Positive,6
B0269,47,Mumbai,83,1,16,538,24,19,Abstract,Digital Prints,Neutral,2
B0270,48,Dubai,34,57,9,1058,21,2,Contemporary,Mixed Media,Neutral,1
B0271,53,Dubai,11,19,70,681,31,14,Realistic,Bronze,Neutral,8
B0272,24,Tokyo,74,35,-9,227,44,9,Realistic,Bronze,Neutral,8
B0273,52,NYC,64,100,-64,1323,19,10,Realistic,Mixed Media,Positive,1
B0274,35,Toronto,28,67,5,176,47,20,Abstract,Oil,Neutral,1
B0275,32,Tokyo,27,87,-14,658,14,9,Abstract,Watercolor,Neutral,9
B0276,44,London,75,69,-44,732,36,19,Realistic,Bronze,Negative,1
B0277,52,Dubai,28,33,39,1336,37,18,Realistic,Bronze,Positive,8
B0278,54,London,25,89,-14,310,29,7,Impressionist,Oil,Neutral,2
B0279,32,Dubai,25,27,48,894,45,8,Contemporary,Watercolor,Neutral,3
B0280,33,Dubai,78,97,-75,221,18,4,Surreal,Bronze,Positive,8
B0281,40,Sydney,1,57,42,493,18,15,Contemporary,Oil,Positive,9
B0282,41,London,17,57,26,1598,48,10,Surreal,Mixed Media,Positive,7
B0283,43,Sydney,76,89,-65,244,5,20,Realistic,Mixed Media,Positive,5
B0284,30,Berlin,34,88,-22,1063,41,10,Contemporary,Watercolor,Positive,7
B0285,40,Sydney,86,45,-31,1079,21,8,Abstract,Bronze,Positive,7
B0286,31,London,18,79,3,737,17,14,Impressionist,Mixed Media,Neutral,5
B0287,59,Paris,60,36,4,1566,50,17,Realistic,Sculpture,Positive,3
B0288,27,Toronto,43,77,-20,1186,14,20,Abstract,Digital Prints,Positive,9
B0289,56,Singapore,83,39,-22,1407,49,5,Impressionist,Watercolor,Neutral,3
B0290,30,Berlin,22,30,48,614,15,6,Abstract,Mixed Media,Positive,8
B0291,56,Singapore,38,44,18,364,32,3,Abstract,Bronze,Negative,1
B0292,25,Paris,17,58,25,1536,47,13,Abstract,Digital Prints,Negative,2
B0293,35,London,99,69,-68,1881,6,13,Impressionist,Bronze,Neutral,8
B0294,50,London,62,88,-50,1150,27,3,Realistic,Digital Prints,Neutral,8
B0295,58,Singapore,33,36,31,1972,42,2,Impressionist,Mixed Media,Positive,9
B0296,33,NYC,48,90,-38,482,50,17,Realistic,Watercolor,Neutral,1
B0297,53,Paris,3,10,87,1385,43,15,Surreal,Watercolor,Negative,3
B0298,23,Sydney,48,92,-40,229,18,8,Contemporary,Sculpture,Neutral,4
B0299,22,Singapore,14,21,65,523,38,15,Abstract,Oil,Negative,8
B0300,60,Berlin,97,85,-82,883,9,13,Impressionist,Mixed Media,Positive,6
B0301,48,Berlin,34,81,-15,417,34,19,Abstract,Mixed Media,Negative,8
B0302,21,Sydney,57,44,-1,1618,42,5,Abstract,Sculpture,Neutral,10
B0303,46,London,76,52,-28,379,31,1,Impressionist,Sculpture,Negative,4
B0304,56,Singapore,71,30,-1,828,26,18,Realistic,Digital Prints,Negative,4
B0305,40,Toronto,30,55,15,104,42,6,Impressionist,Digital Prints,Negative,1
B0306,52,Tokyo,41,97,-38,1170,33,3,Impressionist,Oil,Neutral,7
B0307,26,Tokyo,62,2,36,1584,29,15,Realistic,Bronze,Negative,6
B0308,35,Tokyo,71,60,-31,1275,47,20,Impressionist,Oil,Neutral,5
B0309,24,Toronto,0,66,34,1333,7,12,Contemporary,Bronze,Neutral,3
B0310,55,Tokyo,69,88,-57,1170,41,5,Contemporary,Oil,Negative,1
B0311,41,Singapore,80,22,-2,1630,20,20,Abstract,Oil,Positive,1
B0312,19,London,26,73,1,1797,9,9,Surreal,Sculpture,Positive,2
B0313,36,Dubai,55,88,-43,319,21,1,Contemporary,Oil,Positive,5
B0314,56,Singapore,41,3,56,524,23,5,Surreal,Bronze,Positive,3
B0315,33,Toronto,15,31,54,1576,46,20,Impressionist,Sculpture,Positive,2
B0316,19,NYC,27,96,-23,1961,31,17,Realistic,Bronze,Neutral,4
B0317,52,Tokyo,17,21,62,1864,6,4,Contemporary,Mixed Media,Neutral,10
B0318,18,Singapore,100,23,-23,248,17,10,Abstract,Watercolor,Neutral,3
B0319,44,Sydney,30,24,46,1595,30,18,Realistic,Watercolor,Positive,4
B0320,19,Paris,5,56,39,1790,5,15,Realistic,Bronze,Neutral,7
B0321,44,Paris,68,67,-35,1616,33,15,Impressionist,Oil,Negative,6
B0322,36,Dubai,34,1,65,426,28,14,Impressionist,Watercolor,Neutral,10
B0323,34,Dubai,98,77,-75,478,37,13,Surreal,Mixed Media,Neutral,6
B0324,19,Paris,55,30,15,895,5,12,Surreal,Bronze,Neutral,10
B0325,42,NYC,86,69,-55,1757,9,8,Realistic,Sculpture,Positive,8
B0326,48,Toronto,12,50,38,827,20,13,Abstract,Digital Prints,Negative,2
B0327,50,London,38,79,-17,1798,24,9,Impressionist,Mixed Media,Positive,5
B0328,57,Tokyo,48,89,-37,1592,29,13,Contemporary,Bronze,Positive,6
B0329,21,Berlin,8,52,40,1745,46,19,Impressionist,Oil,Negative,4
B0330,62,Mumbai,71,29,0,1033,16,18,Abstract,Mixed Media,Neutral,8
B0331,27,Berlin,97,71,-68,961,15,17,Realistic,Oil,Positive,7
B0332,41,Tokyo,54,51,-5,1074,21,15,Realistic,Digital Prints,Neutral,6
B0333,40,Toronto,45,66,-11,1954,44,16,Realistic,Bronze,Positive,6
B0334,51,Berlin,35,78,-13,1806,25,16,Impressionist,Watercolor,Neutral,4
